Subject,trial,Training,easy_trial,RT_Easy,APA_Easy,medium_trial,RT_medium,APA_medium,diff_trial,RT_diff,APA_diff
11,18,Walking,1R,0.23,0.74,4L,0.37,0.53,5L,0.57,0.22
11,19,Walking,2R,0.23,0.57,3L,0.34,0.53,6R,0.59,0.54
11,20,Walking,1L,0.08,0.57,3R,0.38,0.42,6L,0.25,0.55
3,1,Walking,2R,0.26,0.48,3L,0.55,0.33,6R,1.4,0.24
3,2,Walking,1R,0.22,0.32,4L,0.73,0.33,5L,1.19,0.35
3,3,Walking,2L,0.19,0.37,4R,0.69,0.33,5R,1.23,0.54
3,4,Walking,1R,0.23,0.57,3R,0.34,0.41,6L,1.46,0.48
3,5,Walking,1L,0.26,0.41,4R,0.95,0.36,6R,1.45,0.22
3,6,Walking,2R,0.5,0.35,3R,0.44,0.49,6L,1.12,0.52
3,7,Walking,2L,0.25,0.4,4R,0.58,0.41,5R,1.13,0.3
3,8,Walking,1R,0.11,0.36,4L,0.78,0.37,5L,1.3,0.49
3,9,Walking,2R,0.48,0.34,3L,0.41,0.39,6R,1.44,0.32
3,10,Walking,1L,0.16,0.3,4L,0.86,0.33,5R,1.17,0.23
3,11,Walking,2L,0.21,0.33,3L,0.57,0.35,6R,1.44,0.17
3,12,Walking,1L,0.16,0.44,4L,0.79,0.4,5L,1.4,0.24
3,13,Walking,2L,0.22,0.42,4R,0.96,0.34,5R,1.09,0.26
3,14,Walking,1R,0.11,0.34,3R,0.33,0.39,6L,1.48,0.24
3,15,Walking,2R,0.46,0.37,3L,0.33,0.44,5L,0.92,0.38
3,16,Walking,1L,0.22,0.25,3R,0.31,0.35,6L,1.4,0.3
3,17,Walking,2L,0.4,0.38,4R,0.8,0.37,5R,1.31,0.36
3,18,Walking,1R,0.1,0.34,4L,0.7,0.34,5L,1.16,0.24
3,19,Walking,2R,0.24,0.42,3L,0.36,0.4,6R,1.55,0.31
3,20,Walking,1L,0,0.3,3R,0.57,0.35,6L,1.2,0.58
13,1,Walking,2R,1.16,0.43,3L,0.93,0.4,6R,0.77,0.17
13,2,Walking,1R,0.3,0.51,4L,0.65,0.43,5L,0.26,0.34
13,3,Walking,2L,0.97,0.45,4R,0.44,0.32,5R,0.32,0.45
13,4,Walking,1R,0.3,0.4,3R,0.51,0.38,6L,0.42,0.45
13,5,Walking,1L,0.41,0.29,4R,0.63,0.42,6R,0.27,0.42
13,6,Walking,2R,0.91,0.3,3R,0.22,0.42,6L,0.33,0.4
13,7,Walking,2L,0.73,0.3,4R,0.53,0.25,5R,0.08,0.4
13,8,Walking,1R,0.21,0.32,4L,0.61,0.62,5L,0.94,0.21
13,9,Walking,2R,0.6,0.36,3L,0.39,0.48,6R,0.4,0.35
13,10,Walking,1L,0.33,0.37,4L,0.59,0.56,5R,0.23,0.43
13,11,Walking,2L,0.56,0.32,3L,0.62,0.32,6R,0.3,0.38
13,12,Walking,1L,0.21,0.45,4L,0.95,0.35,5L,0.16,0.43
13,13,Walking,2L,0.6,0.4,4R,0.31,0.46,5R,0.33,0.4
13,14,Walking,1R,0.35,0.39,3R,0.5,0.3,6L,0.28,0.46
13,15,Walking,2R,0.51,0.42,3L,0.33,0.39,5L,0.24,0.45
13,16,Walking,1L,0.25,0.43,3R,0.43,0.39,6L,0.46,0.36
13,17,Walking,2L,0.59,0.34,4R,0.7,0.33,5R,0.34,0.36
13,18,Walking,1R,0.23,0.39,4L,0.49,0.39,5L,0.13,0.47
13,19,Walking,2R,0.6,0.46,3L,0.51,0.44,6R,0.41,0.45
13,20,Walking,1L,0.23,0.41,3R,0.23,0.42,6L,0.45,0.44
20,1,Walking,2R,0.33,0.48,3L,0.61,0.29,6R,0.26,0.47
20,2,Walking,1R,0.36,0.44,4L,0.46,0.45,5L,0.37,0.45
20,3,Walking,2L,0.34,0.46,4R,1.13,0.57,5R,0.48,0.33
20,4,Walking,1R,0.2,0.45,3R,0.21,0.49,6L,0.48,0.53
20,5,Walking,1L,0.61,0.21,4R,0.36,0.37,6R,0.37,0.35
20,6,Walking,2R,0.2,0.48,3R,0.65,0.43,6L,0.71,0.45
20,7,Walking,2L,0.36,0.52,4R,0.65,0.43,5R,0.35,0.46
20,8,Walking,1R,0.2,0.23,4L,0.48,0.61,5L,0.32,0.45
20,9,Walking,2R,0.2,0.23,3L,0.42,0.47,6R,0.43,0.38
20,10,Walking,1L,0.2,0.23,4L,0.19,0.53,5R,0.25,0.46
20,11,Walking,2L,0.51,0.38,3L,0.36,0.45,6R,0.38,0.4
20,12,Walking,1L,0.24,0.44,4L,0.38,0.44,5L,0.49,0.33
20,13,Walking,2L,0.24,0.44,4R,0.36,0.45,5R,0.19,0.57
20,14,Walking,1R,0.24,0.44,3R,0.17,0.58,6L,0.7,0.44
20,15,Walking,2R,0.25,0.5,3L,0.19,0.43,5L,0.17,0.44
20,16,Walking,1L,0.55,0.33,3R,0.1,0.54,6L,0.59,0.52
20,17,Walking,2L,0.4,0.67,4R,0.17,0.44,5R,0.24,0.39
20,18,Walking,1R,0.56,0.41,4L,0.34,0.5,5L,0.53,0.31
20,19,Walking,2R,0.39,0.5,3L,0.68,0.39,6R,0.23,0.45
20,20,Walking,1L,0.39,0.5,3R,0.15,0.43,6L,0.48,0.46
