Subject,RT_Easy,APA_Easy,RT_medium,APA_medium,RT_diff,APA_diff,NMT_easy,NMT_medium,NMT_difficult,Training
14,0.59,0.3,3.45,2.89,1.22,0.43,0.6927,0.81185625,0.746958333,notraining
14,0.7,0.36,3.51,0.93,0.99,0.43,0.697375,0.707775,0.714375,notraining
14,0.63,0.68,3.31,0.55,1.66,0.37,0.726625,0.73995,0.691295,notraining
14,0.57,0.27,3.59,0.28,0.5,0.53,0.69635,0.69230625,0.727905,notraining
14,0.73,0.44,3.5,0.5,0.86,0.46,0.704125,0.715491667,0.743872917,notraining
14,0.55,0.55,1.02,0.54,1.41,0.48,0.709975,0.72165,0.73622,notraining
14,0.65,0.43,1.33,1.48,1.4,0.66,0.72285,0.712425,0.710458333,notraining
14,0.33,0.5,0.31,0.42,0.79,0.53,0.6795,0.72660625,0.720055,notraining
14,0.7,0.35,1.32,0.48,0.91,0.54,0.71065,0.7098,0.744955,notraining
14,0.35,0.36,0.74,0.42,0.89,0.62,0.693525,0.704425,0.699620833,notraining
14,1.04,0.32,0.75,0.83,0.62,0.52,0.739875,0.792,0.72128,notraining
14,0.26,0.38,1.2,0.45,0.88,0.45,0.716025,0.704666667,0.6920125,notraining
14,0.61,0.4,1.12,0.63,2.17,0.43,0.7439,0.69748125,0.684445,notraining
14,0.28,0.36,0.77,0.46,0.63,0.54,0.66935,0.69319375,0.693335,notraining
14,0.68,0.93,0.95,0.57,1.1,0.38,0.7015125,0.701583333,0.6826375,notraining
14,0.28,0.53,2.34,0.46,1,0.5,0.6671,0.704375,0.670425,notraining
